,nome,genero
411,Paul Greengrass,M
412,Jamie Bell,M
413,Tôru Emori,M
414,Yann Samuell,M
415,Guillaume Canet,M
416,Anders Thomas Jensen,M
417,Stephen Daldry,M
418,Paul Giamatti,M
419,Paul Rudd,M
420,Fred Willard,M
421,Ashton Kutcher,M
422,Jason Lee,M
423,Chris Williams,M
424,Tony Chiu-Wai Leung,M
425,Tarsem Singh,M
426,Todd Phillips,M
427,Joseph Fiennes,M
428,Liam Aiken,M
429,Emile Hirsch,M
430,Hugh Jackman,M
431,Craig T. Nelson,M
432,James Wan,M
433,Leigh Whannell,M
434,Jason Statham,M
435,Beau Billingslea,M
436,Shane Meadows,M
437,Sylvain Chomet,M
438,Andreas Wilson,M
439,Philip Seymour Hoffman,M
440,Ricardo Darín,M
441,Mark Ruffalo,M
442,Fabián Bielinsky,M
443,Choi Min-sik,M
444,Bong Joon Ho,M
445,Andrew Stanton,M
446,Andrew Philpot,M
447,Javier Bardem,M
448,Will Ferrell,M
449,J. Mackye Gruber,M
450,Tom McCarthy,M
451,Peter Dinklage,M
452,Wolfgang Becker,M
453,Daniel Brühl,M
454,Nikkhil Advani,M
455,Colin Farrell,M
456,Andrey Zvyagintsev,M
457,Eric Bana,M
458,Vladimir Garin,M
459,David Mackenzie,M
460,Gerard Butler,M
461,Mikael Håfström,M
462,Emilio Echevarría,M
463,Alejandro G. Iñárritu,M
464,Stanley Kubrick,M
465,Dan Gilroy,M
466,Jon Hamm,M
467,Jake Johnson,M
468,Xavier Dolan,M
469,Richard Armitage,M
470,Hugh Bonneville,M
471,Paul King,M
472,Theodore Melfi,M
473,Darío Grandinetti,M
474,James Marsh,M
475,Ellar Coltrane,M
476,Christopher Miller,M
477,Ryan Potter,M
478,Don Hall,M
479,Jemaine Clement,M
480,Damián Szifron,M
481,James Simone,M
482,David Rawle,M
483,Aleksey Serebryakov,M
484,Nat Wolff,M
485,Prabhas,M
486,S.S. Rajamouli,M
487,Ezra Miller,M
488,Bryan Cranston,M
489,Rupert Friend,M
490,Edgar Ramírez,M
491,Joel Edgerton,M
492,Bob Peterson,M
493,O'Shea Jackson Jr.,M
494,Ed Helms,M
495,Tom Hiddleston,M
496,Taylor Sheridan,M
497,Haluk Bilginer,M
498,Lenny Abrahamson,M
499,Damien Chazelle,M
500,Hannes Holm,M
501,Chris Pratt,M
502,Ritesh Batra,M
503,Matt Ross,M
504,Sujoy Ghosh,M
505,Sean Baker,M
506,Johan Heldenbergh,M
507,Felix van Groeningen,M
508,Jean-Louis Trintignant,M
509,Florian Lukas,M
510,Josh Boone,M
511,Peter Ramsey,M
512,Chris Renaud,M
513,Suraj Sharma,M
514,Thomas Mann,M
515,Rich Moore,M
516,Andrew Garfield,M
517,Paul Dano,M
518,Anurag Basu,M
519,Riz Ahmed,M
520,Saif Ali Khan,M
521,Benedict Cumberbatch,M
522,Michael B. Jordan,M
523,Ryan Coogler,M
524,Neil Patrick Harris,M
525,Mark Strong,M
526,Christoph Waltz,M
527,Bill Hader,M
528,Destin Daniel Cretton,M
529,Miles Teller,M
530,Toni Servillo,M
531,Jaden Smith,M
532,Oscar Isaac,M
533,Nicholas Hoult,M
534,Abdellatif Kechiche,M
535,Domhnall Gleeson,M
536,Irrfan Khan,M
537,Jared Gilman,M
538,Rolf Lassgård,M
539,Alfonso Gomez-Rejon,M
540,Sriram Raghavan,M
541,Lily Franky,M
542,Aneesh Chaganty,M
543,Zain Al Rafeea,M
544,Boyd Holbrook,M
545,Bob Persichetti,M
546,Ayushmann Khurrana,M
547,Takuya Kimura,M
548,George MacKay,M
549,Josh O'Connor,M
550,Francis Lee,M
551,Douglas Booth,M
552,T.J. Miller,M
553,Jon Bernthal,M
554,Fatih Akin,M
555,Lucas Hedges,M
556,Roman Griffin Davis,M
557,Zachary Levi,M
558,Nawazuddin Siddiqui,M
559,Walton Goggins,M
560,Akshay Kumar,M
561,Abhishek Chaubey,M
562,Vijay Varma,M
563,Vikas Bahl,M
564,Sushant Singh Rajput,M
565,Dave Bautista,M
566,Michael Ealy,M
567,Patton Oswalt,M
568,Zack Gottsagen,M
569,Tyler Nilson,M
570,Josh Cooley,M
571,Kyle Chandler,M
572,Dean-Charles Chapman,M
573,Michael Peña,M
574,Abraham Attah,M
575,Andy Serkis,M
576,Jacob Tremblay,M
577,Jared Bush,M
578,Tim Miller,M
579,Shin Ha-kyun,M
580,Salman Khan,M
581,Kabir Khan,M
582,Roland Møller,M
583,Makoto Shinkai,M
584,Martin Zandvliet,M
585,Ed Skrein,M
586,Ranveer Singh,M
587,Taron Egerton,M
588,Ajay Devgn,M
589,Jeethu Joseph,M
590,Nishikant Kamat,M
591,Shameik Moore,M
592,Mahershala Ali,M
593,Garth Davis,M
594,Nitesh Tiwari,M
595,Ansel Elgort,M
596,Anthony Gonzalez,M
597,Fionn Whitehead,M
598,Daniel Kaluuya,M
599,Armie Hammer,M
600,Rami Malek,M
601,Shoojit Sircar,M
602,Aniruddha Roy Chowdhury,M
603,Dave Johns,M
604,Shahab Hosseini,M
605,Travis Knight,M
606,Jordan Peele,M
607,Ferdia Walsh-Peelo,M
608,John Gallagher Jr.,M
609,Adam Driver,M
610,David Leitch,M
611,Stephen Chbosky,M
612,Muhammet Uzuner,M
613,Ranbir Kapoor,M
