Series_Title,Released_Year,Country
Der Himmel über Berlin,1987,Germany
Au revoir les enfants,1987,France
Tenkû no shiro Rapyuta,1986,Japan
The Terminator,1984,USA
Gandhi,1982,UK
Kagemusha,1980,Japan
Being There,1979,USA
Annie Hall,1977,USA
Jaws,1975,USA
Dog Day Afternoon,1975,USA
Young Frankenstein,1974,USA
Papillon,1973,USA
The Exorcist,1973,USA
Sleuth,1972,UK
The Last Picture Show,1971,USA
Fiddler on the Roof,1971,USA
Il conformista,1970,Italy
Butch Cassidy and the Sundance Kid,1969,USA
Rosemary's Baby,1968,USA
Planet of the Apes,1968,USA
The Graduate,1967,USA
Who's Afraid of Virginia Woolf?,1966,USA
The Sound of Music,1965,USA
Doctor Zhivago,1965,USA
Per un pugno di dollari,1964,Italy
8½,1963,Italy
Vivre sa vie: Film en douze tableaux,1962,France
The Hustler,1961,USA
La dolce vita,1960,Italy
Rio Bravo,1959,USA
Anatomy of a Murder,1959,USA
Touch of Evil,1958,USA
Cat on a Hot Tin Roof,1958,USA
Sweet Smell of Success,1957,USA
The Killing,1956,USA
The Night of the Hunter,1955,USA
La Strada,1954,Italy
Les diaboliques,1955,France
Stalag 17,1953,USA
Roman Holiday,1953,USA
A Streetcar Named Desire,1951,USA
In a Lonely Place,1950,USA
Kind Hearts and Coronets,1949,UK
Rope,1948,USA
Out of the Past,1947,USA
Brief Encounter,1945,UK
Laura,1944,USA
The Best Years of Our Lives,1946,USA
Arsenic and Old Lace,1942,USA
The Maltese Falcon,1941,USA
The Grapes of Wrath,1940,USA
The Wizard of Oz,1939,USA
La règle du jeu,1939,France
The Thin Man,1934,USA
All Quiet on the Western Front,1930,USA
Bronenosets Potemkin,1925,Soviet Union
Knives Out,2019,USA
Dil Bechara,2020,India
Manbiki kazoku,2018,Japan
Marriage Story,2019,USA
Call Me by Your Name,2017,Italy
"I, Daniel Blake",2016,UK
Isle of Dogs,2018,USA
Hunt for the Wilderpeople,2016,New Zealand
Captain Fantastic,2016,USA
Sing Street,2016,Ireland
Thor: Ragnarok,2017,USA
Nightcrawler,2014,USA
Jojo Rabbit,2019,USA
Arrival,2016,USA
Star Wars: Episode VII - The Force Awakens,2015,USA
Before Midnight,2013,USA
X-Men: Days of Future Past,2014,USA
